MM-DD,2021,2022,2023,2024
03-29,138.87416666666667,113.22625,95.79416666666667,82.98666666666666
03-30,119.07041666666667,116.39416666666666,85.07875,86.92583333333333
03-31,109.8725,94.09666666666668,86.32375,115.6175
04-01,124.94375000000001,72.29416666666667,65.12458333333333,66.12291666666667
04-02,133.45291666666665,74.66333333333334,73.57375,83.72916666666667
04-03,121.19749999999999,58.701249999999995,86.15458333333333,108.24583333333334
04-04,116.23375,70.05166666666666,73.31416666666667,96.46875
04-05,137.59916666666666,54.15541666666667,89.94083333333333,97.17291666666667
04-06,138.2575,111.66958333333334,75.155,77.45333333333333
04-07,134.92083333333332,89.88958333333333,72.8875,72.35125000000001
04-08,156.12083333333334,63.185833333333335,65.7625,71.07541666666667
04-09,141.87041666666667,63.48416666666666,77.16333333333334,61.97958333333333
04-10,109.4575,41.74791666666667,71.92083333333333,36.614583333333336
04-11,132.00291666666666,89.29708333333333,78.54208333333334,35.73416666666667
04-12,134.37791666666666,107.71749999999999,71.48041666666667,53.185
04-13,153.91708333333335,91.44541666666667,68.14333333333333,53.84583333333333
04-14,116.51791666666666,100.42916666666667,78.385,48.57
04-15,92.88375,106.79625,53.76,76.85041666666667
04-16,101.58666666666666,112.5125,66.44916666666667,92.92083333333333
04-17,99.55833333333334,117.43916666666667,67.89458333333333,90.39458333333334
04-18,101.4175,188.55166666666665,62.340833333333336,108.50083333333333
04-19,112.86708333333333,143.5625,46.00791666666667,67.77166666666666
04-20,147.94125,144.03083333333333,44.000416666666666,78.21958333333333
04-21,125.46083333333333,132.645,52.38375,89.93666666666667
04-22,130.27666666666667,92.36916666666667,44.51291666666666,118.9775
04-23,110.91958333333334,71.73791666666666,79.32625,115.30833333333334
04-24,115.19666666666666,70.0825,78.73291666666667,128.42416666666665
04-25,117.23083333333334,181.11041666666665,76.12583333333333,145.0575
04-26,111.86291666666666,148.26916666666668,72.87625,94.34416666666668
04-27,124.48416666666667,170.69791666666666,75.48708333333333,79.98625
04-28,129.78625,130.45374999999999,76.6525,71.02541666666666
04-29,141.29666666666665,145.66791666666668,67.62291666666667,62.1175
04-30,106.59041666666667,93.46875,81.72541666666666,48.79583333333333
05-01,87.62,95.87291666666665,79.65541666666667,51.79541666666666
05-02,146.4475,83.21124999999999,72.755,43.76
05-03,139.55583333333334,135.59625,75.35125000000001,53.456250000000004
05-04,169.81541666666666,114.77541666666667,82.63875,78.72333333333333
05-05,174.30666666666664,89.34916666666668,61.2075,77.56708333333333
05-06,156.28583333333333,83.64083333333333,70.3075,61.946666666666665
05-07,142.12125,69.33208333333333,70.15166666666667,64.62333333333333
05-08,139.94166666666666,74.16541666666667,62.51416666666666,56.74041666666667
05-09,129.66208333333333,72.07583333333334,40.121249999999996,60.38458333333333
05-10,156.66625000000002,69.97791666666667,42.89291666666667,55.82916666666667
05-11,179.63750000000002,70.5825,54.99333333333333,71.25375
05-12,150.50791666666666,54.405833333333334,52.86625,70.02041666666666
05-13,106.44583333333333,44.731249999999996,50.30916666666667,51.4675
05-14,63.9775,30.90125,50.013749999999995,52.660000000000004
05-15,96.71,71.02958333333333,68.90458333333333,39.595
05-16,91.46416666666666,78.12125,49.11083333333334,24.80666666666667
05-17,84.91,88.67583333333333,46.61291666666667,23.391666666666666
05-18,112.11375,61.56583333333333,90.99958333333335,33.94875
