epoch,episode_return_mean,episode_return_median,avg_epoch_reward,avg_green_reward,avg_wait_reward,carbon_cost_mean,latency_mean,policy_loss_clipped,policy_loss_unclipped,entropy,approx_kl,clip_fraction,value_loss,explained_variance,adv_mean,adv_std
11,-640.006578306195,-640.0065783061959,-640.0065783061959,-0.7451451936009724,-639.2614331125951,-0.7451451936009715,-639.2614331125951,-0.03556748750852421,-0.005566442582639866,3.000104554593563,0.0069030465080868455,0.05507568359375,30795.40983886719,0.6263055888563395,2.5653512477874756,115.4663314819336
12,-577.5605686667494,-577.5605686667502,-577.5605686667502,-0.7338346584277778,-576.8267340083223,-0.7338346584277768,-576.8267340083237,-0.035997306253411805,-0.006099322476657108,2.9897984416782855,0.006602239975472912,0.06346923828125,24776.992106323243,0.6483498607948422,-2.564265727996826,90.29464721679688
13,-485.35684660871635,-485.35684660871647,-485.35684660871647,-0.6554825980406946,-484.7013640106758,-0.6554825980406934,-484.70136401067487,-0.035020070153404956,-0.005754427709616721,2.926564310789108,0.005734666421485599,0.0505224609375,20729.71465209961,0.6048840756714344,6.791874885559082,88.23043823242188
14,-404.25992889209004,-404.2599288920898,-404.2599288920898,-0.7162840899812497,-403.54364480210876,-0.7162840899812497,-403.5436448021088,-0.036508081093779766,-0.007391003270604415,2.911707846522331,0.005785297236288897,0.06773681640625,13537.596414794922,0.6536039240285754,4.814924716949463,71.1688461303711
15,-356.7300927482801,-356.7300927482808,-356.7300927482808,-0.9687180498777779,-355.7613746984028,-0.9687180498777789,-355.76137469840285,-0.03536466317134909,-0.006534329075657297,2.8830334724485875,0.005692620163899847,0.058876953125,9901.907933654786,0.6708522859960795,4.715696811676025,68.03772735595703
16,-306.66297023463653,-306.6629702346371,-306.6629702346371,-0.8451240211851389,-305.817846213452,-0.8451240211851386,-305.81784621345264,-0.03536250599252526,-0.006897969252313487,2.8464537400007246,0.0052001332433428615,0.0612939453125,9678.647564086914,0.5960391131043434,1.0608645677566528,62.7186393737793
17,-257.97787905852994,-257.9778790585305,-257.9778790585305,-0.7814865725031944,-257.1963924860272,-0.7814865725031964,-257.1963924860275,-0.03522790926566813,-0.007083411609637551,2.8144498290121556,0.005492796580365393,0.062275390625,5881.118448486328,0.6638497875258327,3.581928014755249,58.17820739746094
18,-211.1207235169724,-211.12072351697233,-211.12072351697233,-0.8078419846286115,-210.31288153234362,-0.8078419846286107,-210.31288153234348,-0.03710630395042244,-0.009287188546004473,2.781911605000496,0.00710463285446167,0.08545166015625,4276.802378845215,0.6662007405608893,2.3532118797302246,50.76408004760742
19,-183.71889410060737,-183.71889410060726,-183.71889410060726,-0.9078267696640276,-182.81106733094322,-0.9078267696640269,-182.81106733094333,-0.03565289272519294,-0.00817374866863247,2.747914473712444,0.006664887855004053,0.0773095703125,2922.348460006714,0.6594078354537487,2.4563958644866943,46.29264831542969
20,-170.7225533700039,-170.7225533700041,-170.7225533700041,-0.8843536777341668,-169.8381996922699,-0.8843536777341678,-169.83819969227028,-0.035931123404880055,-0.008642606102512218,2.7288517843186857,0.006574600751628168,0.07553466796875,2125.1840683746336,0.6785744707286357,-0.17877686023712158,31.507293701171875
